,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hithadhoo,92,MV,1543518264,100,-0.6,73.08,82.61,4.83
1,El Alto,75,BO,1543514400,41,-16.5,-68.19,62.6,8.05
2,Qaanaaq,0,GL,1543518264,91,77.48,-69.36,-4.52,9.08
3,Hilo,20,US,1543513980,78,19.71,-155.08,71.06,3.36
4,Georgetown,40,GY,1543514400,70,6.8,-58.16,87.8,13.87
5,Huaicheng,0,CN,1543518265,87,23.91,112.19,46.61,2.48
6,Barrow,0,AR,1543518104,59,-38.31,-60.23,76.53,6.85
7,Vung Tau,0,VN,1543518265,93,10.35,107.08,81.89,19.71
8,Rikitea,32,PF,1543518266,97,-23.12,-134.97,77.84,12.44
9,Tambacounda,0,SN,1543514400,19,13.77,-13.67,96.8,6.93
10,Hobart,75,AU,1543516200,82,-42.88,147.33,57.2,4.7
11,Maldonado,75,UY,1543514400,68,-34.91,-54.96,71.6,17.22
12,Namatanai,92,PG,1543518266,100,-3.66,152.44,82.61,12.44
13,Imbituba,75,BR,1543514400,78,-28.24,-48.67,77.0,13.87
14,Bagdarin,0,RU,1543518267,61,54.44,113.59,-10.37,7.18
15,Vaini,20,IN,1543518267,56,15.34,74.49,70.59,5.61
16,Ponta do Sol,0,BR,1543518267,52,-20.63,-46.0,84.23,4.5
17,Kodiak,75,US,1543515300,69,39.95,-94.76,35.06,6.93
18,Kavaratti,36,IN,1543518268,100,10.57,72.64,83.96,6.51
19,Labuhan,20,ID,1543518268,98,-2.54,115.51,73.38,0.92
20,Najran,0,SA,1543514400,52,17.54,44.22,68.0,4.7
21,Jamestown,0,AU,1543518268,80,-33.21,138.6,40.94,2.59
22,Sitka,0,US,1543518269,46,37.17,-99.65,53.67,4.72
23,Ostrovnoy,76,RU,1543518269,91,68.05,39.51,24.74,19.04
24,Atuona,44,PF,1543518269,100,-9.8,-139.03,80.4,18.03
25,Saskylakh,48,RU,1543518269,37,71.97,114.09,-24.54,2.93
26,Kahului,1,US,1543514160,78,20.89,-156.47,71.6,4.7
27,Mount Isa,0,AU,1543516200,23,-20.73,139.49,73.4,5.82
28,Clyde River,75,CA,1543514400,91,70.47,-68.59,-4.01,2.93
29,San Luis,0,AR,1543518270,49,-33.3,-66.34,83.78,7.74
30,Pauini,32,BR,1543518271,72,-7.71,-67.0,86.97,3.94
31,Arlit,8,NE,1543518271,25,18.74,7.39,71.76,6.17
32,Touros,40,BR,1543514400,62,-5.2,-35.46,86.0,18.34
33,Mayor Pablo Lagerenza,56,PY,1543518271,92,-19.93,-60.77,83.37,2.37
